GEOID20,District
080010094013006,7
080010094013007,7
080010094013008,7
080010094013009,7
080010094013010,7
080010094013011,7
080010094013012,7
080010094013013,7
080010094013014,7
080010094013015,7
080010094013016,7
080010094013017,7
080010094013018,7
080010094013019,7
080010094013020,7
080010094013021,7
080010094013022,7
080010094013023,7
080010094013024,7
080010094013025,7
080010094013026,7
080010094013027,7
080010094013028,7
080010094013033,7
080010094013036,7
080010094071003,7
080010094071004,7
080010094071005,7
080010094071006,7
080010094071007,7
080010094071008,7
080010094071009,7
080010094071015,7
080010094071016,7
080010094072000,7
080010094072001,7
080010094072002,7
080010094072003,7
080010094072004,7
080010094072005,7
080010094073000,7
080010094073001,7
080010094073002,7
080010094073003,7
080010094073004,7
080010094073005,7
080010094073006,7
080010094073011,7
080010094071010,7
080010094071011,7
080010094071012,7
080010094071013,7
080010094071014,7
080010094071017,7
080010094071018,7
080010094071025,7
080010094072006,7
080010094072007,7
080010094072008,7
080010094072009,7
080010094072010,7
080010094072011,7
080010094072012,7
080010094072013,7
080010094072014,7
080010094072015,7
080010094072016,7
080010094072017,7
080010094072018,7
080010094072019,7
080010094073007,7
080010094073008,7
080010094073009,7
080010094073010,7
080010094073012,7
080010094073013,7
080010094073014,7
080010094073015,7
080010094073016,7
080010094073017,7
080010094073018,7
080010094073019,7
080010094073020,7
080010094073021,7
080010094073022,7
080010094073023,7
080010094062000,7
080010094062001,7
080010094062002,7
080010094062003,7
080010094062004,7
080010094062005,7
080010094062006,7
080010094062007,7
080010094062008,7
080010094062009,7
080010094062010,7
080010094062011,7
080010094062012,7
080010094062013,7
080010094062014,7
080010094062015,7
080010094062016,7
080010094062017,7
080010094062018,7
080010094062019,7
080010094101017,7
080010094102016,7
080010094101006,7
080010094101016,7
080010094102000,7
080010094102001,7
080010094102002,7
080010094102003,7
080010094102004,7
080010094102005,7
080010094102006,7
080010094102007,7
080010094102008,7
080010094102009,7
080010094102010,7
080010094102011,7
080010094102012,7
080010094102013,7
080010094102014,7
080010094102015,7
080010094101007,7
080010094101010,7
080010094101011,7
080010094101012,7
080010094101013,7
080010094101014,7
080010094101015,7
080010094101018,7
080010094101019,7
080010094061000,7
080010094061001,7
080010094061002,7
080010094061003,7
080010094061004,7
080010094061005,7
080010094061006,7
080010094061007,7
080010094061008,7
080010094061009,7
080010094061010,7
080010094061011,7
080010094061012,7
080010094061013,7
080010094061014,7
080010094061015,7
080010094061016,7
080010094061017,7
080010094061018,7
080010094061019,7
080010094061020,7
080010094061021,7
080010094061022,7
080010094061023,7
080010094061024,7
080010094061025,7
080010094101000,7
080010094101001,7
080010094101002,7
080010094101003,7
080010094101004,7
080010094101005,7
080010094101008,7
080010094101009,7
080010094091009,7
080010094092000,7
080010094093000,7
080010094093001,7
080010094093002,7
080010094093003,7
080010094093004,7
080010094093005,7
080010094093011,7
080010094093012,7
080010094091010,7
080010094091011,7
080010094091012,7
080010094091013,7
080010094091014,7
080010094091015,7
080010094091016,7
080010094091017,7
080010094091026,7
080010094091027,7
080010094091028,7
080010094091029,7
080010094092009,7
080010094092010,7
080010094092011,7
080010094092012,7
080010094092016,7
080010094092017,7
080010094092018,7
080010094092019,7
080010094092020,7
080010094092021,7
080010094092022,7
080010094092023,7
080010094092001,7
080010094092002,7
080010094092003,7
080010094092004,7
080010094092005,7
080010094092006,7
080010094092007,7
080010094092008,7
080010094092013,7
080010094092014,7
080010094092015,7
080010094093006,7
080010094093007,7
080010094093008,7
080010094093009,7
080010094093010,7
080010094081003,7
080010094081004,7
080010094081020,7
080010094081021,7
080010094081031,7
080010094081040,7
080010094081041,7
080010094081042,7
080010094081043,7
080010094081044,7
080010094081045,7
080010094081046,7
080010094081047,7
080010094081048,7
080010094081049,7
080010094081050,7
080010094081051,7
080010094081052,7
080010094081053,7
080010094081054,7
080010094081055,7
080010094081056,7
080010094081057,7
080010094082018,7
080010094081000,7
080010094081001,7
080010094081002,7
080010094081005,7
080010094081006,7
080010094081007,7
080010094081008,7
080010094081009,7
080010094081010,7
